free,log,restart,rmse,converged,in_bounds,C_c,h_amb,K_Q,h_fc,sigma,tau,theta,dead,coast
K_Q+C_c+theta,real_mak,3,2.538068115413976,True,True,3317.647252692129,0.3217811677335799,9.12832581592911,1.7609727828493549,1.683451323625469e-09,10310.259223867908,111.96938100180849,61.0,148.0
K_Q+C_c+theta,real_mak,4,2.496959497786182,True,True,3279.804025107214,0.5495292873237053,9.17175742499867,1.8601511100324468,1.0520475953110867e-09,5968.388038206988,110.69674498303156,61.0,147.0
K_Q+C_c+h_fc+theta,real_mak,0,2.4597889131286554,True,True,3568.279137671471,0.5,9.904528569209724,0.3879437907301096,1.4e-09,7136.558275342942,92.53299975984343,64.0,145.0
K_Q+C_c+h_fc+theta,real_mak,1,2.445234332459861,True,True,4069.542420471103,0.71736726282234,11.384478810817983,0.46044174266732824,1.2056046839601547e-09,5672.885607380927,92.8939492212485,64.0,144.0
K_Q+C_c+h_fc+theta,real_mak,2,2.465658114462416,True,True,5806.4422683807115,0.7302107122243602,16.057890085792017,0.4787249997652055,2.4973178267891023e-09,7951.735261036076,92.3993021566447,64.0,145.0
K_Q+C_c+h_fc+theta,real_mak,3,2.434080948113355,True,True,5252.777386901917,1.0744254072709412,14.777795432992459,0.5270404879228051,1.1579929937199989e-09,4888.917696244787,93.15890079852821,64.0,144.0
K_Q+C_c+h_fc+theta,real_mak,4,2.466243846325149,True,True,3171.6581154903038,0.39469613140785437,8.776323429961165,0.38236445965803945,1.3770936100942938e-09,8035.695977503539,92.37561000869712,64.0,145.0
K_Q+C_c+sigma+theta,real_mak,0,2.444802506442116,True,True,1733.5363507526165,0.5,4.980546834008344,1.3,1.2337506339636958e-25,3467.072701505233,110.93641517801542,62.0,146.0
K_Q+C_c+sigma+theta,real_mak,1,2.4601830294369704,True,True,1787.1073015871061,0.5157686025575737,5.127847950244854,1.373539236828401,6.184953550077402e-23,3464.940077246398,113.91157857080975,61.0,146.0
K_Q+C_c+sigma+theta,real_mak,2,2.4517108086179347,True,True,1600.391207452663,0.46161921200352884,4.594290107177443,1.1560611075456897,1.3128223302094976e-21,3466.9077149250643,112.32729706192988,62.0,146.0
K_Q+C_c+sigma+theta,real_mak,3,2.43099013742241,True,True,1245.9204113278058,0.35962320432738404,3.588012700668807,1.0249748330456228,5.0801626435294206e-23,3464.516183426191,107.78239948522463,63.0,145.0
K_Q+C_c+sigma+theta,real_mak,4,2.4585480168897793,True,True,663.2374223527488,0.19253171926168364,1.914674798780912,1.3998026533377612,3.4236770036887715e-25,3444.821585223032,113.61386160880808,61.0,146.0
